Tipo de alojamiento;Codigo_CA;Comunidad;Residencia: Nivel 2;Año;Mes;Total;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;12;1108517;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;11;1269391;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;10;1835740;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;9;2013198;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;8;2208915;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;7;2010321;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;6;2011395;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;5;2085222;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;4;1853668;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;3;1595826;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;2;1258294;;
Encuesta de Ocupación Hotelera;1;Andalucía;;2024;1;1041007;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;12;643956;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;11;673668;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;10;795523;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;9;987854;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;8;1260924;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;7;1135161;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;6;1103063;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;5;1011206;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;4;874510;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;3;860283;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;2;705236;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en España;2024;1;569160;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;12;464561;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;11;595723;;
Encuesta de Ocupación Hotelera;1;Andalucía;Residentes en el Extranjero;2024;10;1040217;;
