País de residencia;Tipo de dato;Año;Mes;Total
Alemania;Dato base;2019;1;517785
Bélgica;Dato base;2019;1;120461
Estados Unidos de América;Dato base;2019;1;148607
Francia;Dato base;2019;1;446062
Irlanda;Dato base;2019;1;89650
Italia;Dato base;2019;1;245224
Países Bajos;Dato base;2019;1;152557
Países Nórdicos;Dato base;2019;1;378280
Portugal;Dato base;2019;1;141690
Reino Unido;Dato base;2019;1;807362
Resto América;Dato base;2019;1;254827
Resto de Europa;Dato base;2019;1;369273
Resto del Mundo;Dato base;2019;1;379212
Rusia;Dato base;2019;1;66650
Suiza;Dato base;2019;1;78000
Alemania;Dato base;2019;2;548064
Bélgica;Dato base;2019;2;122700
Estados Unidos de América;Dato base;2019;2;134549
Francia;Dato base;2019;2;566827
Irlanda;Dato base;2019;2;90556
Italia;Dato base;2019;2;263903
Países Bajos;Dato base;2019;2;168722
Países Nórdicos;Dato base;2019;2;392980
Portugal;Dato base;2019;2;145289
Reino Unido;Dato base;2019;2;885676
Resto América;Dato base;2019;2;206506
Resto de Europa;Dato base;2019;2;394226
Resto del Mundo;Dato base;2019;2;321603
Rusia;Dato base;2019;2;49956
Suiza;Dato base;2019;2;88945
Alemania;Dato base;2019;3;809144
Bélgica;Dato base;2019;3;178684
Estados Unidos de América;Dato base;2019;3;245642
Francia;Dato base;2019;3;676480
Irlanda;Dato base;2019;3;124441
Italia;Dato base;2019;3;320311
Países Bajos;Dato base;2019;3;221834
Países Nórdicos;Dato base;2019;3;493878
Portugal;Dato base;2019;3;184721
Reino Unido;Dato base;2019;3;1109683
Resto América;Dato base;2019;3;264724
Resto de Europa;Dato base;2019;3;432480
Resto del Mundo;Dato base;2019;3;402645
Rusia;Dato base;2019;3;70851
Suiza;Dato base;2019;3;114059
Alemania;Dato base;2019;4;1072814
Bélgica;Dato base;2019;4;242254
Estados Unidos de América;Dato base;2019;4;258668
Francia;Dato base;2019;4;1019617
Irlanda;Dato base;2019;4;173919
Italia;Dato base;2019;4;388321
Países Bajos;Dato base;2019;4;296074
Países Nórdicos;Dato base;2019;4;450295
Portugal;Dato base;2019;4;231213
Reino Unido;Dato base;2019;4;1461671
Resto América;Dato base;2019;4;293192
Resto de Europa;Dato base;2019;4;526060
Resto del Mundo;Dato base;2019;4;472754
Rusia;Dato base;2019;4;83726
Suiza;Dato base;2019;4;175457
Alemania;Dato base;2019;5;1085570
Bélgica;Dato base;2019;5;204034
Estados Unidos de América;Dato base;2019;5;344081
Francia;Dato base;2019;5;1020302
Irlanda;Dato base;2019;5;237509
Italia;Dato base;2019;5;403175
Países Bajos;Dato base;2019;5;426675
Países Nórdicos;Dato base;2019;5;431764
Portugal;Dato base;2019;5;159476
Reino Unido;Dato base;2019;5;1950529
Resto América;Dato base;2019;5;374846
Resto de Europa;Dato base;2019;5;616029
Resto del Mundo;Dato base;2019;5;410132
Rusia;Dato base;2019;5;123984
Suiza;Dato base;2019;5;131098
Alemania;Dato base;2019;6;1295337
Bélgica;Dato base;2019;6;245796
Estados Unidos de América;Dato base;2019;6;434190
Francia;Dato base;2019;6;958217
Irlanda;Dato base;2019;6;282177
Italia;Dato base;2019;6;405887
Países Bajos;Dato base;2019;6;395792
Países Nórdicos;Dato base;2019;6;497735
Portugal;Dato base;2019;6;229556
Reino Unido;Dato base;2019;6;2074006
Resto América;Dato base;2019;6;370334
Resto de Europa;Dato base;2019;6;694440
Resto del Mundo;Dato base;2019;6;577667
Rusia;Dato base;2019;6;182043
Suiza;Dato base;2019;6;190718
Alemania;Dato base;2019;7;1243087
Bélgica;Dato base;2019;7;385358
Estados Unidos de América;Dato base;2019;7;424512
Francia;Dato base;2019;7;1436108
Irlanda;Dato base;2019;7;286096
Italia;Dato base;2019;7;481829
Países Bajos;Dato base;2019;7;508260
Países Nórdicos;Dato base;2019;7;662151
